venue,avg_score,highest_score,lowest_score
Arun Jaitley Stadium,168.29,219,115
"Arun Jaitley Stadium, Delhi",193.63,278,75
Barabati Stadium,167.71,231,126
"Barsapara Cricket Stadium, Guwahati",168.88,201,127
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",174.79,235,121
Brabourne Stadium,180.4,212,151
"Brabourne Stadium, Mumbai",177.41,217,68
Buffalo Park,147.33,178,116
De Beers Diamond Oval,158.0,168,140
Dr DY Patil Sports Academy,146.65,187,82
"Dr DY Patil Sports Academy, Mumbai",170.7,216,128
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,157.46,206,121
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",208.75,272,163
Dubai International Cricket Stadium,163.76,219,110
Eden Gardens,160.18,232,81
"Eden Gardens, Kolkata",190.33,261,25
Feroz Shah Kotla,161.63,231,56
Green Park,161.25,195,124
Himachal Pradesh Cricket Association Stadium,175.67,232,120
"Himachal Pradesh Cricket Association Stadium, Dharamsala",205.2,254,122
Holkar Cricket Stadium,160.33,245,88
JSCA International Stadium Complex,149.0,185,115
Kingsmead,152.0,211,101
M Chinnaswamy Stadium,168.06,263,89
"M Chinnaswamy Stadium, Bengaluru",190.38,287,95
M.Chinnaswamy Stadium,173.93,218,62
MA Chidambaram Stadium,150.56,202,70
"MA Chidambaram Stadium, Chepauk",166.02,246,112
"MA Chidambaram Stadium, Chepauk, Chennai",168.32,217,103
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",163.0,219,101
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",220.29,254,162
Maharashtra Cricket Association Stadium,166.41,211,73
"Maharashtra Cricket Association Stadium, Pune",171.46,210,144
"Narendra Modi Stadium, Ahmedabad",185.8,243,89
Nehru Stadium,146.8,161,129
New Wanderers Stadium,144.0,163,123
Newlands,139.43,184,101
OUTsurance Oval,135.0,150,120
Punjab Cricket Association IS Bindra Stadium,175.6,197,150
"Punjab Cricket Association IS Bindra Stadium, Mohali",164.09,207,67
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",197.8,257,153
"Punjab Cricket Association Stadium, Mohali",163.29,240,106
Rajiv Gandhi International Stadium,162.6,231,125
"Rajiv Gandhi International Stadium, Uppal",156.14,223,80
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",194.65,286,133
"Sardar Patel Stadium, Motera",163.17,201,130
Saurashtra Cricket Association Stadium,168.9,213,135
Sawai Mansingh Stadium,157.68,197,94
"Sawai Mansingh Stadium, Jaipur",194.52,229,118
Shaheed Veer Narayan Singh International Stadium,146.33,164,119
"Shaheed Veer Narayan Singh International Stadium, Raipur",179.0,192,166
Sharjah Cricket Stadium,159.04,228,90
Sheikh Zayed Stadium,158.86,205,70
St George's Park,159.0,187,141
Subrata Roy Sahara Stadium,149.44,187,99
SuperSport Park,154.83,188,105
"Vidarbha Cricket Association Stadium, Jamtha",149.33,159,138
Wankhede Stadium,166.03,235,67
"Wankhede Stadium, Mumbai",181.92,243,97
"Zayed Cricket Stadium, Abu Dhabi",159.0,235,92
